상호명,지점명,도로명주소,사업장명,소재지면적,위도,경도
미니스톱,등촌청림점,서울특별시 강서구 공항대로45길 44,세븐일레븐 등촌청림점,2.76,37.5575077,126.856133
GS25,우장산스카이점,서울특별시 강서구 강서로 294,지에스25 우장산스카이점,3.30,37.5596089,126.838587
세븐일레븐,강서화곡로점,서울특별시 강서구 화곡로 296,세븐일레븐 강서화곡로점,6.60,37.5575476,126.853233
세븐일레븐,2872S개화산역점,서울특별시 강서구 양천로 22,세븐일레븐(S개화산역점),6.60,37.5488695,126.8781594
GS25,발산에너지점,서울특별시 강서구 강서로56길 50,지에스25발산에너지점,3.30,37.5596199,126.838934
GS25,국립항공박물관점,서울특별시 강서구 하늘길 112,세븐일레븐 김포공항국내선1층점,3.30,37.55846185,126.8032963758545
GS25,등촌타운점,서울특별시 강서구 공항대로 543,지에스25 등촌타운점,6.60,37.5612563,126.8124407
CU,화곡시원점,서울특별시 강서구 가로공원로76길 38,씨유 화곡시원점,3.30,37.5348312,126.8378596
CU,마곡9단지점,서울특별시 강서구 공항대로 103,씨유 마곡9단지점,3.30,37.5612563,126.8124407
CU,마곡9단지점,서울특별시 강서구 공항대로 103,지에스25 마곡9단지점,3.30,37.5612563,126.8124407
CU,마곡9단지점,서울특별시 강서구 공항대로 103,세븐일레븐 마곡9단지점,3.30,37.5612563,126.8124407
세븐일레븐,등촌영일점,서울특별시 강서구 등촌로51가길 27,세븐일레븐 등촌영일점,3.30,37.5478089,126.8623635
미니스톱,한강강서1점,서울특별시 강서구 양천로27길 280-11,미니스톱 한강강서1점,3.30,37.580167,126.8196767
CU,강서마곡점,서울특별시 강서구 양천로47나길 7,씨유 강서마곡점,3.30,37.5719509,126.8402751
세븐일레븐,화곡우장산점,서울특별시 강서구 화곡로53길 58,세븐일레븐 화곡우장산점,3.30,37.552057500000004,126.84579168858247
세븐일레븐,등촌임광점,서울특별시 강서구 등촌로 113,세븐일레븐 등촌임광점,3.30,37.5515987,126.8639552
CU,가양3단지점,서울특별시 강서구 허준로 139,씨유 가양3단지점,3.30,37.5644495,126.8553523
GS25,뉴마곡12단지점,서울특별시 강서구 마곡중앙1로 26,지에스25 뉴마곡12단지점,3.30,37.558542,126.8218699
CU,화곡더숨점,서울특별시 강서구 초록마을로34길 57,씨유 화곡더숨점,3.30,37.5369283,126.8456605
GS25,등촌월드점,서울특별시 강서구 공항대로39길 74,이마트24 등촌5단지점,9.90,37.5613245,126.8445763
